171,"glasnegatief glas : fotonegatief, 1854, glasmateriaal, xxx"
172,"glasnegatief glas : fotonegatief, 1854, glasmateriaal, xxx"
173,"auloi speler aardewerk: vaatwerk, 520-510 voor Christus, op de schijf gedraaid, xxx"
174,"skyphos aardewerk: vaatwerk, 520-510 voor Christus, op de schijf gedraaid, xxx"
175,"kylix aardewerk: vaatwerk, 450-440 voor Christus, op de schijf gedraaid, xxx"
176,"sieraad steen: armband, 3000-2800 voor Christus, leisteenmateriaal, xxx"
177,"lagynos; kruik aardewerk: vaatwerk, 300-250 voor Christus, wiel, xxx"
178,"kruikje aardewerk: vaatwerk, Algemeene Gids 1649, 300-250 voor Christus, wiel, xxx"
179,"Mithras reliëf steen: reliëfsculptuur, 0100, reliëf, xxx"
180,"glasnegatief glas : fotonegatief, 1854, glasmateriaal, xxx"
181,"snavelkan, vaatwerk metaal ; brons, 400-350 voor Christus, gesmeed, xxx"
182,"sjawabti aardewerk : faience, 1070-976 voor Christus; 21ste Dynastie Derde Tussenperiode, in mal gevormd, xxx"
183,"sjawabti aardewerk : faience, 1070-976 voor Christus; 21ste Dynastie Derde Tussenperiode, in mal gevormd, xxx"
184,"terracotta, paard aardewerk: vaatwerk, dierfiguur, Mededelingen v.d. Vrienden v.h. Allard Pierson Museum 114/115 (2017) 6, afb.2, laat geometrisch I (ca. 740 voor Christus), uit vorm, xxx"
185,"kleding fragment organisch: textiel, 300, geweven, xxx"
186,"kleding fragment organisch: textiel, 300, geweven, xxx"
187,"kleding fragment organisch: textiel, Gekleed voor de dood. Koptische weefsels APM 1978, 300, geweven, xxx"
188,"grafreliëf steen: reliëf, 1300-1250 voor Christus, kalksteenmateriaal, xxx"
189,"leeuwgriffioen metaal: kleding ornament, 6de-5de eeuw voor Christus, mal, xxx"
190,"portret Cleopatra VII gips: kopie, figuur (menselijk), 45-30 voor Christus, gegoten, xxx"
191,"Capitolijnse wolvin gips: wolvin, 1000, gegoten, xxx"
192,"Hathor organisch: mensfiguur, ca. 1500 v. Christus begin Nieuwe Rijk, organisch: hout cederhoutmateriaal, xxx"
193,"zegelcylinder steen : schrift, Joost Kist, 1850, glyptiek, |"
194,"zegelcylinder steen : schrift, Joost Kist, 1850, glyptiek, |"
195,"zegelcylinder steen : schrift, Joost Kist, 1850, glyptiek, |"
196,"zegelcylinder steen : schrift, Joost Kist, 1850, glyptiek, |"
197,"zegelcylinder steen : schrift, Joost Kist, 1850, glyptiek, |"
198,"zegelcylinder steen : schrift, Joost Kist, 1850, glyptiek, |"
199,"zegelcylinder steen : schrift, Joost Kist, 1850, glyptiek, |"
200,"zegelcylinder steen : schrift, Joost Kist, 1850, glyptiek, |"
201,"zegelcylinder steen : schrift, J. Kist, Ancient Near Eastern seals from the Kist collection no. 441, 1850, glyptiek, |"
202,"zegelcylinder steen : schrift, J. Kist, Ancient Near Eastern seals from the Kist collection no. 440, 1850, glyptiek, |"
203,"zegelcylinder steen : schrift, J. Kist, Ancient Near Eastern seals from the Kist collection no. 439, 1850, glyptiek, |"
204,"zegelcylinder steen : schrift, J. Kist, Ancient Near Eastern seals from the Kist collection no. 437, 1850, glyptiek, |"
205,"zegelcylinder steen : schrift, J. Kist, Ancient Near Eastern seals from the Kist collection no. 436, 1850, glyptiek, |"
206,"zegelcylinder steen : schrift, J. Kist, Ancient Near Eastern seals from the Kist collection no. 435, 1850, glyptiek, |"
207,"zegelcylinder steen : schrift, J. Kist, Ancient Near Eastern seals from the Kist collection no. 434, 1850, glyptiek, |"
208,"zegelcylinder steen : schrift, J. Kist, Ancient Near Eastern seals from the Kist collection no. 433, 1850, glyptiek, |"
209,"zegelcylinder steen : schrift, J. Kist, Ancient Near Eastern seals from the Kist collection no. 432, 1850, glyptiek, |"
